Packet ID,TIME,Size,eth.src,eth.dst,IP.src,IP.dst,IP.proto,port.src,port.dst
278423,1645404117,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
281697,1645404117,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
283675,1645404117,1753,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,13.107.136.9,6,53136,443
283676,1645404117,305,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,13.107.136.9,6,53136,443
283724,1645404117,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,13.107.136.9,149.171.144.58,6,443,53136
283726,1645404117,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,13.107.136.9,149.171.144.58,6,443,53136
284022,1645404117,1636,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,13.107.136.9,149.171.144.58,6,443,53136
284052,1645404117,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,13.107.136.9,6,53136,443
287216,1645404118,60,58:0a:20:8b:1c:40,ac:4b:c8:8f:19:f0,149.171.144.58,18.67.108.217,6,53207,443
287222,1645404118,66,3c:61:04:d2:28:2a,b8:38:61:70:8c:c0,18.67.108.217,149.171.144.58,6,443,53207
299120,1645404118,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
299129,1645404118,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54641,443
302484,1645404119,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
303191,1645404119,76,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,8.129.59.224,17,62102,8370
315419,1645404120,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.144.58,6,443,52732
316478,1645404120,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.108.40.15,6,52732,443
321767,1645404120,159,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,20.198.162.76,6,61221,443
322610,1645404120,229,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,20.198.162.76,149.171.144.58,6,443,61221
323047,1645404120,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,20.198.162.76,6,61221,443
330017,1645404121,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,66.203.112.13,149.171.144.58,6,80,57908
330024,1645404121,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,66.203.112.13,6,57908,80
331396,1645404121,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
331934,1645404121,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
331938,1645404121,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
335891,1645404121,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
345120,1645404121,78,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,188.172.203.37,6,55175,5938
346621,1645404122,78,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,188.172.203.37,149.171.144.58,6,5938,55175
347173,1645404122,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,188.172.203.37,6,55175,5938
358587,1645404122,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
358593,1645404122,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54641,443
363192,1645404123,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
390499,1645404125,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
390668,1645404125,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
393143,1645404125,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
398663,1645404126,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.144.58,6,443,52732
399309,1645404126,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.108.40.15,6,52732,443
407437,1645404126,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
407442,1645404126,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54641,443
410006,1645404127,78,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,188.172.203.37,6,55175,5938
410043,1645404127,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
412026,1645404127,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,188.172.203.37,149.171.144.58,6,5938,55175
428722,1645404128,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.98.0.146,149.171.144.58,6,443,53204
434977,1645404129,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
435596,1645404129,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
438254,1645404129,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
451458,1645404130,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
451464,1645404130,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54641,443
453909,1645404131,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
455916,1645404131,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,66.203.112.13,149.171.144.58,6,80,57908
455922,1645404131,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,66.203.112.13,6,57908,80
459277,1645404131,1748,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,13.107.136.9,6,53161,443
459279,1645404131,305,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,13.107.136.9,6,53161,443
459281,1645404131,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,13.107.136.9,149.171.144.58,6,443,53161
459282,1645404131,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,13.107.136.9,149.171.144.58,6,443,53161
459285,1645404131,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,13.107.136.9,149.171.144.58,6,443,53161
459912,1645404131,1636,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,13.107.136.9,149.171.144.58,6,443,53161
459915,1645404131,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,13.107.136.9,6,53161,443
461128,1645404132,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.137.110.235,6,53208,443
461425,1645404132,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.144.58,6,443,52732
462410,1645404132,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.108.40.15,6,52732,443
463533,1645404132,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.137.110.235,149.171.144.58,6,443,53208
463538,1645404132,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.137.110.235,6,53208,443
473998,1645404133,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
474044,1645404133,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
476148,1645404133,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
487881,1645404134,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,66.203.112.13,6,57908,80
487886,1645404134,66,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,66.203.112.13,149.171.144.58,6,80,57908
489685,1645404134,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
489688,1645404134,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54641,443
492015,1645404135,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
492160,1645404135,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,40.100.144.146,149.171.144.58,6,443,53205
507858,1645404136,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.113.195.132,149.171.144.58,6,443,53206
519900,1645404137,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
520226,1645404137,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
522630,1645404137,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
527041,1645404138,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.144.58,6,443,52732
527400,1645404138,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.108.40.15,6,52732,443
533416,1645404138,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
533421,1645404138,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54641,443
536847,1645404139,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
557809,1645404141,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
557819,1645404141,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
560698,1645404141,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
582896,1645404142,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
582905,1645404142,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54641,443
585427,1645404143,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
603567,1645404144,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.144.58,6,443,52732
604410,1645404144,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.108.40.15,6,52732,443
610919,1645404144,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,66.203.112.13,149.171.144.58,6,80,57908
610928,1645404144,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,66.203.112.13,6,57908,80
615238,1645404145,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
615528,1645404145,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
618040,1645404145,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
631524,1645404146,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
631531,1645404146,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54641,443
634011,1645404147,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
639734,1645404147,1753,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,13.107.136.9,6,53136,443
639736,1645404147,305,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,13.107.136.9,6,53136,443
639742,1645404147,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,13.107.136.9,149.171.144.58,6,443,53136
639743,1645404147,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,13.107.136.9,149.171.144.58,6,443,53136
639924,1645404147,1635,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,13.107.136.9,149.171.144.58,6,443,53136
639928,1645404147,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,13.107.136.9,6,53136,443
649472,1645404148,112,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.44.83,6,61330,443
651185,1645404148,101,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.44.83,149.171.144.58,6,443,61330
651599,1645404148,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.44.83,6,61330,443
656163,1645404149,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
656355,1645404149,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
658432,1645404149,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
662501,1645404149,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,167.94.138.130,149.171.144.58,6,41489,86
663126,1645404150,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.144.58,6,443,52732
